"ZIP Code","JENI Rank","JENI Percentile","JENI Category","Population","Supervisorial District","Service Planning Area","Neighborhood","System Involvement Percentile","System Involvement Category","Inequity Drivers Percentile","Inequity Drivers Category","Criminalization Risk Percentile","Criminalization Risk Category","% Black Population","% Latinx Population","% American Indian / Alaskan Native Population","% Native Hawaiian / Pacific Islander Population","% of Population without a High School Diploma","Below 200% Poverty Level Rate","Unemployment Rate","Mental Health Hospitalizations (per 1K)","Alcohol and Drug-Related Hospitalizations (per 1K)","Violent Crime Rate (per 1K)","Homelessness Rate (per 1K)"
"90021","1","100","Highest","3049","1","4","Downtown","94.9","Highest","99.3","Highest","99.6","Highest","24.3","37.2","3","0.7","23.6","63.3","11.2","22.1","5","89.5","333.9"
"90014","2","99.6","Highest","8177","1","4","Downtown","94.6","Highest","93.2","Highest","99.3","Highest","25.3","21","3.1","0.6","16","51","8.9","22.5","4.3","39.3","187.2"
"90059","3","99.3","Highest","41672","2","6","Willowbrook","97.1","Highest","98.9","Highest","93.9","Highest","28.6","68.8","1","0.4","41.8","60.5","10.9","12","1.3","12.8","9"
"90061","4","98.9","Highest","31061","2","6","Willowbrook","98.2","Highest","97.8","Highest","93.2","Highest","31.8","64.6","2.1","0.4","40.4","51.8","7.4","8.1","1.2","14.9","22.7"
"90037","5","98.6","Highest","66399","2","6","Vermont Square","95.3","Highest","98.6","Highest","92.5","Highest","16.6","79.2","2.4","0.2","47.9","61.9","7.5","8.2","1.3","13.6","11.4"
"93534","6","98.2","Highest","40234","5","1","Lancaster","99.6","Highest","85.3","Highest","98.2","Highest","24.6","38.9","1.9","0.3","17.4","49.7","6.8","8.9","1.7","10.3","21.6"
"90813","7","97.8","Highest","58174","4","8","Long Beach","96","Highest","93.9","Highest","94.3","Highest","11.5","64.7","3.3","0.9","41.6","61.1","8.9","15.2","2.6","2.7","3.3"
"90013","8","97.5","Highest","12895","1","4","Downtown","77.9","High","94.3","Highest","100","Highest","23.8","15.8","3.3","0.9","14.2","53.7","8.8","42.1","6.4","37.7","183"
"90058","9","97.1","Highest","3808","4","7","Vernon","93.8","Highest","100","Highest","82.1","Highest","9.3","88.2","2.9","0.2","54.2","66.1","10.6","6","1.1","34","41.8"
"90003","10","96.7","Highest","75758","2","6","Florence","99.3","Highest","98.2","Highest","81.7","Highest","20.7","77.6","1.2","0.1","47.4","63.1","8.9","6.8","1","20.6","12.2"
"90221","11","96.4","Highest","51588","2","6","Compton","89.1","Highest","96.8","Highest","91.8","Highest","20.4","76.5","0.7","0.3","43","53.5","9.7","6.5","1.5","10.5","8.9"
"90731","12","96","Highest","61277","4","8","San Pedro","91.7","Highest","83.2","Highest","97.5","Highest","6.7","56.4","3","1.1","19.4","39","7.4","7.7","2.9","5.7","8.6"
"90043","13","95.7","Highest","44415","2","6","Hyde Park","98.9","Highest","84.6","Highest","90.7","Highest","60","30.4","1.8","0.4","18.4","35.6","9.4","11","1.3","9.2","6.2"
"90016","14","95.3","Highest","44662","2","6","West Adams","95.7","Highest","74.6","High","96.1","Highest","30.4","53.2","1.2","0.1","26.6","43.4","5.3","11.2","1.7","9","6.6"
"90222","15","94.9","Highest","34064","2","6","Compton","92.8","Highest","89.6","Highest","92.1","Highest","22","74.4","1.1","0.2","38.6","48.4","7","8.1","1.3","7.6","7.7"
